/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=15100 loss=0.043455 time=0.035874 fft=0.008934
step=15200 loss=0.038970 time=0.032339 fft=0.007815
step=15300 loss=0.035242 time=0.029326 fft=0.006971
step=15400 loss=0.034866 time=0.028933 fft=0.006992
step=15500 loss=0.036405 time=0.030279 fft=0.007219
step=15600 loss=0.036392 time=0.030147 fft=0.007360
step=15700 loss=0.035131 time=0.029031 fft=0.007189
step=15800 loss=0.036348 time=0.030013 fft=0.007465
step=15900 loss=0.038027 time=0.031399 fft=0.007812
step=16000 loss=0.035735 time=0.029555 fft=0.007283
step=16000 val_loss=0.035898
step=16100 loss=0.042585 time=0.035429 fft=0.008434
step=16200 loss=0.040894 time=0.033897 fft=0.008247
step=16300 loss=0.040519 time=0.033419 fft=0.008368
step=16400 loss=0.040303 time=0.033222 fft=0.008346
step=16500 loss=0.039846 time=0.032941 fft=0.008138
step=16600 loss=0.039461 time=0.032814 fft=0.007834
step=16700 loss=0.034635 time=0.028776 fft=0.006905
step=16800 loss=0.044412 time=0.036943 fft=0.008803
step=16900 loss=0.043000 time=0.035790 fft=0.008497
step=17000 loss=0.039516 time=0.032867 fft=0.007836
step=17000 val_loss=0.035755
step=17100 loss=0.040349 time=0.033418 fft=0.008168
step=17200 loss=0.038982 time=0.032421 fft=0.007732
step=17300 loss=0.043335 time=0.036083 fft=0.008547
step=17400 loss=0.038602 time=0.031788 fft=0.008031
step=17500 loss=0.040866 time=0.033892 fft=0.008220
step=17600 loss=0.038340 time=0.031699 fft=0.007827
step=17700 loss=0.039110 time=0.032233 fft=0.008104
step=17800 loss=0.040314 time=0.033342 fft=0.008217
step=17900 loss=0.038254 time=0.031553 fft=0.007897
step=18000 loss=0.038428 time=0.031752 fft=0.007867
step=18000 val_loss=0.035272
step=18100 loss=0.036428 time=0.029966 fft=0.007616
step=18200 loss=0.032092 time=0.026479 fft=0.006615
step=18300 loss=0.038787 time=0.032022 fft=0.007974
step=18400 loss=0.036022 time=0.029867 fft=0.007255
step=18500 loss=0.043356 time=0.035914 fft=0.008771
step=18600 loss=0.039505 time=0.032846 fft=0.007848
step=18700 loss=0.042540 time=0.035201 fft=0.008649
step=18800 loss=0.036682 time=0.030449 fft=0.007346
step=18900 loss=0.037102 time=0.030710 fft=0.007533
step=19000 loss=0.038435 time=0.031908 fft=0.007691
step=19000 val_loss=0.035836
step=19100 loss=0.040680 time=0.033668 fft=0.008263
step=19200 loss=0.036299 time=0.030003 fft=0.007419
step=19300 loss=0.041935 time=0.034667 fft=0.008565
step=19400 loss=0.040886 time=0.033848 fft=0.008295
step=19500 loss=0.040572 time=0.033487 fft=0.008350
step=19600 loss=0.037393 time=0.030903 fft=0.007648
step=19700 loss=0.033801 time=0.027884 fft=0.006974
step=19800 loss=0.038189 time=0.031627 fft=0.007733
step=19900 loss=0.035746 time=0.029527 fft=0.007328
step=20000 loss=0.035947 time=0.029862 fft=0.007171
step=20000 val_loss=0.035510
step=20100 loss=0.034756 time=0.028662 fft=0.007183
step=20200 loss=0.041865 time=0.034749 fft=0.008386
step=20300 loss=0.043250 time=0.035592 fft=0.009025
step=20400 loss=0.032194 time=0.026746 fft=0.006420
step=20500 loss=0.040044 time=0.033434 fft=0.007790
step=20600 loss=0.037143 time=0.030853 fft=0.007413
step=20700 loss=0.036351 time=0.030053 fft=0.007423
step=20800 loss=0.040312 time=0.033416 fft=0.008128
step=20900 loss=0.044302 time=0.036791 fft=0.008851
step=21000 loss=0.034341 time=0.028464 fft=0.006926
step=21000 val_loss=0.035620
step=21100 loss=0.036664 time=0.030337 fft=0.007457
step=21200 loss=0.041788 time=0.034612 fft=0.008456
step=21300 loss=0.038825 time=0.032067 fft=0.007965
step=21400 loss=0.038223 time=0.031444 fft=0.007989
step=21500 loss=0.042416 time=0.035102 fft=0.008620
step=21600 loss=0.036158 time=0.029733 fft=0.007573
step=21700 loss=0.036424 time=0.030209 fft=0.007325
step=21800 loss=0.039369 time=0.032493 fft=0.008103
step=21900 loss=0.042784 time=0.035515 fft=0.008566
step=22000 loss=0.033160 time=0.027281 fft=0.006929
step=22000 val_loss=0.035365
step=22100 loss=0.037196 time=0.030840 fft=0.007491
step=22200 loss=0.037842 time=0.031177 fft=0.007855
step=22300 loss=0.030923 time=0.025495 fft=0.006397
step=22400 loss=0.034082 time=0.028058 fft=0.007099
step=22500 loss=0.042048 time=0.034696 fft=0.008664
step=22600 loss=0.037328 time=0.031111 fft=0.007327
step=22700 loss=0.041538 time=0.034301 fft=0.008529
step=22800 loss=0.036472 time=0.030129 fft=0.007476
step=22900 loss=0.036042 time=0.029945 fft=0.007186
step=23000 loss=0.035630 time=0.029675 fft=0.007017
step=23000 val_loss=0.034959
step=23100 loss=0.031370 time=0.025938 fft=0.006402
step=23200 loss=0.034984 time=0.028952 fft=0.007109
step=23300 loss=0.038729 time=0.032111 fft=0.007800
step=23400 loss=0.038890 time=0.032201 fft=0.007882
step=23500 loss=0.038445 time=0.031972 fft=0.007628
step=23600 loss=0.039648 time=0.032711 fft=0.008176
step=23700 loss=0.038849 time=0.032167 fft=0.007875
step=23800 loss=0.033033 time=0.027514 fft=0.006505
step=23900 loss=0.039391 time=0.032698 fft=0.007887
step=24000 loss=0.036258 time=0.030029 fft=0.007342
step=24000 val_loss=0.035314
step=24100 loss=0.033072 time=0.027193 fft=0.006929
step=24200 loss=0.041427 time=0.034166 fft=0.008558
step=24300 loss=0.039575 time=0.032568 fft=0.008258
step=24400 loss=0.034384 time=0.028373 fft=0.007084
step=24500 loss=0.037412 time=0.030919 fft=0.007651
step=24600 loss=0.039642 time=0.032793 fft=0.008072
step=24700 loss=0.041678 time=0.034486 fft=0.008475
step=24800 loss=0.038307 time=0.031770 fft=0.007704
step=24900 loss=0.038232 time=0.031781 fft=0.007602
step=25000 loss=0.036392 time=0.029942 fft=0.007602
step=25000 val_loss=0.035104
step=25100 loss=0.040250 time=0.033115 fft=0.008409
step=25200 loss=0.033689 time=0.027719 fft=0.007035
step=25300 loss=0.038480 time=0.031875 fft=0.007784
step=25400 loss=0.041437 time=0.034396 fft=0.008298
step=25500 loss=0.034006 time=0.028085 fft=0.006978
step=25600 loss=0.038822 time=0.032086 fft=0.007938
step=25700 loss=0.034883 time=0.028866 fft=0.007092
step=25800 loss=0.035906 time=0.029697 fft=0.007318
step=25900 loss=0.034321 time=0.028332 fft=0.007058
step=26000 loss=0.036042 time=0.029855 fft=0.007291
step=26000 val_loss=0.035424
step=26100 loss=0.035363 time=0.029374 fft=0.007059
step=26200 loss=0.039068 time=0.031943 fft=0.008397
step=26300 loss=0.040876 time=0.033882 fft=0.008243
step=26400 loss=0.040394 time=0.033643 fft=0.007957
step=26500 loss=0.042443 time=0.034904 fft=0.008884
step=26600 loss=0.031594 time=0.026048 fft=0.006535
step=26700 loss=0.037232 time=0.030565 fft=0.007858
step=26800 loss=0.040666 time=0.033484 fft=0.008464
step=26900 loss=0.036374 time=0.029985 fft=0.007530
step=27000 loss=0.038681 time=0.032130 fft=0.007721
step=27000 val_loss=0.034397
step=27100 loss=0.034008 time=0.028033 fft=0.007042
step=27200 loss=0.039528 time=0.032824 fft=0.007902
step=27300 loss=0.036280 time=0.030134 fft=0.007243
step=27400 loss=0.039082 time=0.032474 fft=0.007788
step=27500 loss=0.039950 time=0.033162 fft=0.007999
step=27600 loss=0.040474 time=0.033406 fft=0.008329
step=27700 loss=0.036124 time=0.029816 fft=0.007434
step=27800 loss=0.042942 time=0.035412 fft=0.008874
step=27900 loss=0.040542 time=0.033710 fft=0.008052
step=28000 loss=0.043308 time=0.035878 fft=0.008756
step=28000 val_loss=0.035030
step=28100 loss=0.035827 time=0.029457 fft=0.007507
step=28200 loss=0.038001 time=0.031407 fft=0.007771
step=28300 loss=0.037804 time=0.031119 fft=0.007878
step=28400 loss=0.037697 time=0.031223 fft=0.007629
step=28500 loss=0.035158 time=0.029130 fft=0.007105
step=28600 loss=0.039256 time=0.032415 fft=0.008062
step=28700 loss=0.038937 time=0.032235 fft=0.007898
step=28800 loss=0.036354 time=0.030195 fft=0.007258
step=28900 loss=0.038281 time=0.031535 fft=0.007950
step=29000 loss=0.041130 time=0.033980 fft=0.008427
step=29000 val_loss=0.035046
step=29100 loss=0.039729 time=0.033079 fft=0.007837
step=29200 loss=0.037002 time=0.030704 fft=0.007421
step=29300 loss=0.030759 time=0.025538 fft=0.006154
step=29400 loss=0.035921 time=0.029588 fft=0.007463
step=29500 loss=0.039160 time=0.032276 fft=0.008112
step=29600 loss=0.034298 time=0.028109 fft=0.007294
step=29700 loss=0.036460 time=0.030073 fft=0.007528
step=29800 loss=0.041264 time=0.034178 fft=0.008352
step=29900 loss=0.036237 time=0.030126 fft=0.007203
step=30000 loss=0.038784 time=0.031926 fft=0.008082
step=30000 val_loss=0.034743
step=30100 loss=0.031721 time=0.026224 fft=0.006479
step=30200 loss=0.035410 time=0.029272 fft=0.007235
step=30300 loss=0.036180 time=0.029884 fft=0.007420
step=30400 loss=0.036686 time=0.030379 fft=0.007433
step=30500 loss=0.038771 time=0.031811 fft=0.008203
step=30600 loss=0.035342 time=0.029125 fft=0.007326
step=30700 loss=0.038655 time=0.031991 fft=0.007854
step=30800 loss=0.038816 time=0.032172 fft=0.007831
step=30900 loss=0.035808 time=0.029727 fft=0.007166
step=31000 loss=0.032960 time=0.027219 fft=0.006765
step=31000 val_loss=0.034425
step=31100 loss=0.035866 time=0.029832 fft=0.007112
step=31200 loss=0.032949 time=0.027071 fft=0.006928
step=31300 loss=0.034555 time=0.028393 fft=0.007262
step=31400 loss=0.033865 time=0.027812 fft=0.007133
step=31500 loss=0.032636 time=0.026854 fft=0.006814
step=31600 loss=0.034040 time=0.028141 fft=0.006952
step=31700 loss=0.035269 time=0.029048 fft=0.007332
step=31800 loss=0.040274 time=0.033520 fft=0.007959
step=31900 loss=0.036103 time=0.029877 fft=0.007337
step=32000 loss=0.037275 time=0.030930 fft=0.007478
step=32000 val_loss=0.034904
step=32100 loss=0.035756 time=0.029941 fft=0.006853
step=32200 loss=0.036785 time=0.030486 fft=0.007424
step=32300 loss=0.036604 time=0.030280 fft=0.007453
step=32400 loss=0.040750 time=0.033762 fft=0.008235
step=32500 loss=0.040394 time=0.033357 fft=0.008293
step=32600 loss=0.037897 time=0.031309 fft=0.007764
step=32700 loss=0.040116 time=0.033045 fft=0.008332
step=32800 loss=0.037170 time=0.030681 fft=0.007648
step=32900 loss=0.036498 time=0.030113 fft=0.007525
