/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=3420 loss=0.080755 time=0.067878 fft=0.015176
step=3440 loss=0.100606 time=0.084385 fft=0.019117
step=3460 loss=0.088236 time=0.074258 fft=0.016473
step=3480 loss=0.096599 time=0.081230 fft=0.018112
step=3500 loss=0.086073 time=0.072039 fft=0.016539
step=3500 val_loss=0.086176
step=3520 loss=0.095948 time=0.081069 fft=0.017535
step=3540 loss=0.086920 time=0.073316 fft=0.016032
step=3560 loss=0.102817 time=0.086345 fft=0.019413
step=3580 loss=0.094513 time=0.079069 fft=0.018200
step=3600 loss=0.087166 time=0.073137 fft=0.016533
step=3620 loss=0.086971 time=0.073656 fft=0.015692
step=3640 loss=0.088144 time=0.073923 fft=0.016760
step=3660 loss=0.094661 time=0.079638 fft=0.017704
step=3680 loss=0.080248 time=0.067593 fft=0.014913
step=3700 loss=0.090781 time=0.076049 fft=0.017361
step=3720 loss=0.087863 time=0.073473 fft=0.016959
step=3740 loss=0.090726 time=0.075921 fft=0.017448
step=3760 loss=0.086067 time=0.072178 fft=0.016368
step=3780 loss=0.078682 time=0.066158 fft=0.014760
step=3800 loss=0.085986 time=0.072527 fft=0.015862
step=3820 loss=0.084060 time=0.070433 fft=0.016059
step=3840 loss=0.083704 time=0.070384 fft=0.015697
step=3860 loss=0.083069 time=0.069762 fft=0.015683
step=3880 loss=0.083670 time=0.070319 fft=0.015734
step=3900 loss=0.089262 time=0.074812 fft=0.017029
step=3920 loss=0.083520 time=0.070118 fft=0.015793
step=3940 loss=0.085331 time=0.071505 fft=0.016293
step=3960 loss=0.088139 time=0.074068 fft=0.016583
step=3980 loss=0.090248 time=0.075397 fft=0.017502
step=4000 loss=0.084482 time=0.070950 fft=0.015948
step=4000 val_loss=0.085814
step=4020 loss=0.086584 time=0.072883 fft=0.016147
step=4040 loss=0.088359 time=0.074261 fft=0.016614
step=4060 loss=0.087643 time=0.073366 fft=0.016826
step=4080 loss=0.083435 time=0.070067 fft=0.015754
step=4100 loss=0.084933 time=0.071360 fft=0.015997
step=4120 loss=0.081242 time=0.068308 fft=0.015243
step=4140 loss=0.090165 time=0.075819 fft=0.016907
step=4160 loss=0.090100 time=0.075535 fft=0.017165
step=4180 loss=0.097150 time=0.081671 fft=0.018242
step=4200 loss=0.084957 time=0.071280 fft=0.016118
step=4220 loss=0.085707 time=0.071660 fft=0.016554
step=4240 loss=0.087943 time=0.073681 fft=0.016808
step=4260 loss=0.098088 time=0.082549 fft=0.018313
step=4280 loss=0.088908 time=0.074603 fft=0.016859
step=4300 loss=0.085249 time=0.071520 fft=0.016180
step=4320 loss=0.089420 time=0.075077 fft=0.016904
step=4340 loss=0.083208 time=0.069851 fft=0.015742
step=4360 loss=0.075017 time=0.063354 fft=0.013745
step=4380 loss=0.089200 time=0.074940 fft=0.016805
step=4400 loss=0.090699 time=0.075703 fft=0.017673
step=4420 loss=0.081224 time=0.068314 fft=0.015214
step=4440 loss=0.090076 time=0.075449 fft=0.017238
step=4460 loss=0.089392 time=0.075205 fft=0.016719
step=4480 loss=0.088024 time=0.073807 fft=0.016755
step=4500 loss=0.082954 time=0.069552 fft=0.015795
step=4500 val_loss=0.084869
step=4520 loss=0.074104 time=0.062446 fft=0.013739
step=4540 loss=0.073536 time=0.061780 fft=0.013855
step=4560 loss=0.086383 time=0.072348 fft=0.016540
step=4580 loss=0.090435 time=0.076084 fft=0.016912
step=4600 loss=0.088622 time=0.074182 fft=0.017017
step=4620 loss=0.085283 time=0.071267 fft=0.016518
step=4640 loss=0.083057 time=0.069648 fft=0.015802
step=4660 loss=0.077751 time=0.065052 fft=0.014965
step=4680 loss=0.088406 time=0.074232 fft=0.016705
step=4700 loss=0.078939 time=0.066373 fft=0.014809
step=4720 loss=0.078676 time=0.065995 fft=0.014945
step=4740 loss=0.081661 time=0.068623 fft=0.015365
step=4760 loss=0.086511 time=0.072384 fft=0.016648
step=4780 loss=0.078858 time=0.066218 fft=0.014896
step=4800 loss=0.087061 time=0.072854 fft=0.016743
step=4820 loss=0.090378 time=0.075798 fft=0.017183
step=4840 loss=0.084721 time=0.070887 fft=0.016304
step=4860 loss=0.084245 time=0.070772 fft=0.015878
step=4880 loss=0.084585 time=0.070828 fft=0.016213
step=4900 loss=0.086255 time=0.072107 fft=0.016674
step=4920 loss=0.091838 time=0.076820 fft=0.017699
step=4940 loss=0.094073 time=0.078908 fft=0.017873
step=4960 loss=0.094655 time=0.079787 fft=0.017523
step=4980 loss=0.090385 time=0.075690 fft=0.017319
step=5000 loss=0.083135 time=0.069672 fft=0.015867
step=5000 val_loss=0.083759
step=5020 loss=0.081052 time=0.067765 fft=0.015658
step=5040 loss=0.091249 time=0.076291 fft=0.017628
step=5060 loss=0.078149 time=0.065595 fft=0.014795
step=5080 loss=0.088798 time=0.074239 fft=0.017157
step=5100 loss=0.081823 time=0.068754 fft=0.015402
step=5120 loss=0.086385 time=0.072238 fft=0.016671
step=5140 loss=0.082833 time=0.069469 fft=0.015749
step=5160 loss=0.087715 time=0.073316 fft=0.016969
step=5180 loss=0.082630 time=0.069143 fft=0.015895
step=5200 loss=0.086325 time=0.072596 fft=0.016180
step=5220 loss=0.090844 time=0.076353 fft=0.017077
step=5240 loss=0.083436 time=0.069809 fft=0.016060
step=5260 loss=0.082504 time=0.069314 fft=0.015544
step=5280 loss=0.090975 time=0.076534 fft=0.017019
step=5300 loss=0.088483 time=0.074204 fft=0.016828
step=5320 loss=0.083032 time=0.069262 fft=0.016228
step=5340 loss=0.087797 time=0.073800 fft=0.016495
step=5360 loss=0.071642 time=0.059999 fft=0.013721
step=5380 loss=0.087981 time=0.073309 fft=0.017291
step=5400 loss=0.085301 time=0.071647 fft=0.016092
step=5420 loss=0.089601 time=0.075304 fft=0.016849
step=5440 loss=0.091144 time=0.076566 fft=0.017180
step=5460 loss=0.086973 time=0.073189 fft=0.016244
step=5480 loss=0.085240 time=0.071340 fft=0.016382
step=5500 loss=0.096529 time=0.080834 fft=0.018496
step=5500 val_loss=0.084455
step=5520 loss=0.093658 time=0.078476 fft=0.017892
step=5540 loss=0.069637 time=0.058588 fft=0.013020
step=5560 loss=0.085038 time=0.071321 fft=0.016166
step=5580 loss=0.082845 time=0.069378 fft=0.015870
step=5600 loss=0.084810 time=0.071095 fft=0.016163
step=5620 loss=0.088900 time=0.074358 fft=0.017138
step=5640 loss=0.079034 time=0.066251 fft=0.015065
step=5660 loss=0.085815 time=0.071987 fft=0.016296
step=5680 loss=0.077140 time=0.064812 fft=0.014529
step=5700 loss=0.083436 time=0.069965 fft=0.015876
step=5720 loss=0.081988 time=0.068772 fft=0.015575
